tag,equipment,VR,VY,VB,IR,IY,IB,temperature,MW,MVAR,MVA,fault,reason,protection,load_percent
7LP-487B,Lighting,381.6616804,412.6465055,419.4257834,70.11365068,123.8800339,59.38214565,78.04521314,0.044,0.033,0.077,Normal,Normal operation,None,84.45861009
7PM-327B,Motor,383.4156733,396.1802085,391.4952475,24.13574758,116.4636182,143.5453719,29.19546104,0.064,0.007,0.071,Normal,Normal operation,None,94.71491255
5SNS-566B,Sensor,381.2082283,394.5818127,398.6969984,59.5571017,34.05717792,57.84732814,84.37139714,0.054,0.022,0.076,Normal,Normal operation,None,50.48720259
5CB-420A,CircuitBreaker,416.2626423,387.542525,386.7331125,63.94581256,139.7604196,121.5492293,35.61432656,0.079,0.019,0.098,Normal,Normal operation,None,108.4184871
7CB-359,CircuitBreaker,393.5131028,381.6289611,407.2016999,120.6388803,105.6235392,110.910423,72.01389923,0.062,0.043,0.105,Normal,Normal operation,None,112.3909475
7SNS-253B,Sensor,411.7179552,396.352686,400.2092938,63.02163457,85.22523515,44.57163309,84.86020434,0.063,0.012,0.075,Normal,Normal operation,None,64.27283427
7UPS-339B,UPS,383.2524715,411.9423451,391.0493154,97.0957028,83.16479701,33.73808175,57.53490093,0.059,0.009,0.068,Normal,Normal operation,None,71.33286052
7PT-754,PT,408.6674978,413.4513212,409.7496346,149.795703,130.5907262,139.4510374,41.62460123,0.074,0.047,0.121,Overload,Load exceeded limit,Thermal,139.9458222
6G-616A,Generator,412.5324627,392.5714874,387.1119398,34.40222865,97.23679797,129.3039575,50.1991845,0.075,0.041,0.116,Normal,Normal operation,None,86.98099469
4LP-425B,Lighting,391.8065118,404.1381917,400.5924992,139.828445,138.785856,41.75513111,55.70107288,0.015,0.019,0.034,Normal,Normal operation,None,106.7898107
4BB-968A,Battery,418.7379498,404.5273743,380.3159262,113.2401797,148.1925485,66.4900045,74.10441062,0.036,0.015,0.051,Normal,Normal operation,None,109.3075775
4TR-185,Transformer,392.3875944,417.2923536,397.9729047,116.6761521,87.06367674,22.27176033,84.34753836,0.052,0.026,0.078,Normal,Normal operation,None,75.3371964
3UPS-234B,UPS,392.7320079,400.4122543,385.6484188,23.3667368,107.6558144,56.76953431,36.25142082,0.042,0.015,0.057,Normal,Normal operation,None,62.59736184
6VFD-192B,VFD,398.9485304,380.3830623,390.5594437,49.97340713,116.7057882,23.35229865,45.83990636,0.085,0.046,0.131,Normal,Normal operation,None,63.34383133
2CT-117B,CT,403.8759859,405.6244012,390.582807,116.7937739,57.31697589,36.47161512,79.96352354,0.059,0.012,0.071,Normal,Normal operation,None,70.19412163
5UPS-648,UPS,407.9016513,400.4273364,388.586492,67.77348385,117.3518304,75.79883527,73.6046951,0.089,0.044,0.133,Normal,Normal operation,None,86.97471651
3SB-815B,Switchboard,391.9390182,380.4410761,392.6117991,67.16654132,133.4068597,139.5451553,55.51205643,0.03,0.029,0.059,Normal,Normal operation,None,113.3728521
5LP-835,Lighting,402.8925287,398.3406197,417.6107513,60.68530613,30.38664978,65.35281263,77.07888275,0.043,0.04,0.083,Normal,Normal operation,None,52.14158951
6CAP-567B,CapacitorBank,391.3918479,383.743515,409.2091199,51.89757213,27.78195752,29.43035117,80.00400594,0.024,0.007,0.031,Normal,Normal operation,None,36.36996027
6BB-202,Battery,387.5675489,400.6225687,392.070131,137.2074931,39.13079274,61.57480416,40.04663563,0.013,0.021,0.034,Normal,Normal operation,None,79.30436332
6PT-770A,PT,409.3700742,397.8641602,395.3548443,107.2060241,106.0881317,123.9697091,67.9095329,0.017,0.013,0.03,Normal,Normal operation,None,112.4212883
1PLC-891B,PLC,395.9940834,397.6107777,416.9366055,49.34832708,121.3178381,24.79941531,98.38730204,0.061,0.019,0.08,Overheating,High temperature,Thermal,65.1551935
2TR-975A,Transformer,393.9829811,393.0012049,394.3253219,64.71525174,97.87130963,32.4284616,46.76060774,0.095,0.026,0.121,Normal,Normal operation,None,65.00500766
3CB-764B,CircuitBreaker,386.9806276,406.519417,391.0581434,41.4150958,40.99421038,41.47595682,40.96816259,0.038,0.042,0.08,Normal,Normal operation,None,41.29508767
1BB-474B,Battery,382.4450654,404.1926724,399.0558217,53.42983361,80.45539614,43.81205651,80.62256516,0.063,0.039,0.102,Normal,Normal operation,None,59.23242875
7G-123,Generator,403.9537531,401.1225974,409.8248492,76.0648937,125.2634029,79.90143898,44.60358633,0.015,0.046,0.061,Normal,Normal operation,None,93.7432452
2CAP-557A,CapacitorBank,416.3038567,411.593705,386.1217509,127.9305909,108.1332667,84.10830926,56.15154436,0.038,0.007,0.045,Normal,Normal operation,None,106.7240556
2LP-833B,Lighting,389.5664157,388.9156585,407.710345,82.85834343,32.53435968,92.28697887,80.09451522,0.057,0.04,0.097,Normal,Normal operation,None,69.22656066
1PLC-576,PLC,382.6002355,408.4847358,400.1652074,66.90842122,69.63731342,33.48190363,64.59263154,0.026,0.018,0.044,Normal,Normal operation,None,56.67587942
5PLC-389B,PLC,419.6602463,389.3667037,404.8943325,105.0117407,109.2055053,25.14031684,76.36604845,0.064,0.031,0.095,Normal,Normal operation,None,79.78585427
5VFD-478A,VFD,401.3242924,389.4691388,400.6646456,47.4954129,112.3413356,21.8440355,89.42312575,0.032,0.02,0.052,Normal,Normal operation,None,60.56026133
4SA-793,SurgeArrestor,411.4763599,390.1762289,382.3199465,66.97895407,52.69161025,63.14342568,74.51563773,0.028,0.034,0.062,Normal,Normal operation,None,60.93799667
1CT-429A,CT,404.257051,391.4549901,410.887765,74.29683178,34.06217401,42.26151001,90.10576065,0.011,0.048,0.059,Overheating,High temperature,Thermal,50.2068386
6CT-862,CT,395.6685233,413.0877067,391.0360207,57.98154056,147.3625766,43.19544477,49.56640564,0.087,0.04,0.127,Normal,Normal operation,None,82.84652066
4TR-564B,Transformer,384.8806454,402.1994926,399.5281894,38.71525644,25.24854877,83.07435046,55.13531935,0.065,0.023,0.088,Normal,Normal operation,None,49.01271856
4VFD-342,VFD,398.1636263,394.8110626,416.515283,84.37639518,58.65603405,143.75951,63.93993871,0.095,0.007,0.102,Normal,Normal operation,None,95.59731308
5BB-815B,Battery,384.2332232,382.631715,391.7180112,28.10568571,146.9447215,148.4103634,38.88840537,0.027,0.019,0.046,Normal,Normal operation,None,107.8202569
7LP-427A,Lighting,397.0752915,386.2010215,391.4688724,142.8603589,50.30014938,94.32444897,51.90727722,0.024,0.017,0.041,Normal,Normal operation,None,95.82831909
6SNS-975A,Sensor,405.4527154,418.5557621,416.8617114,124.4686452,130.5385862,89.53624055,35.62540765,0.029,0.03,0.059,Normal,Normal operation,None,114.847824
5PLC-796B,PLC,390.6799859,394.206109,393.4389448,64.69102046,40.1318633,35.37516721,27.08557341,0.016,0.024,0.04,Normal,Normal operation,None,46.73268366
7SNS-645,Sensor,384.0547192,407.6371356,384.1193935,70.10189103,73.67269623,85.75412986,31.92860895,0.07,0.014,0.084,Normal,Normal operation,None,76.50957237
4SB-204A,Switchboard,397.8254384,402.6231525,384.0542351,50.80064051,65.48343589,93.16016098,69.40082099,0.066,0.015,0.081,Normal,Normal operation,None,69.81474579
1PT-200,PT,418.527144,391.567048,383.7129465,99.55154484,102.5210726,83.55380117,32.49304938,0.046,0.007,0.053,Normal,Normal operation,None,95.2088062
7PT-661B,PT,399.3410785,400.6268076,384.4024458,107.3019638,68.7160894,146.8285043,33.74288248,0.041,0.035,0.076,Normal,Normal operation,None,107.6155192
7PT-406A,PT,416.720485,418.2680925,403.8786479,60.79788768,71.54270623,119.1274162,31.1092161,0.016,0.03,0.046,Normal,Normal operation,None,83.82267003
4UPS-425B,UPS,383.3969447,393.0213493,411.4321787,105.0749883,45.16530194,71.54507498,95.91315308,0.062,0.046,0.108,Overheating,High temperature,Thermal,73.92845509
7VFD-206B,VFD,401.3904256,390.1148719,395.0952667,102.0434336,104.8772616,148.6375644,32.61949913,0.053,0.033,0.086,Normal,Normal operation,None,118.5194199
4VFD-835B,VFD,385.5627724,388.4046856,402.7179703,141.0340494,20.23711206,30.96102188,77.82591539,0.098,0.011,0.109,Normal,Normal operation,None,64.07739445
7CT-585,CT,393.4436103,416.2190323,384.2504526,110.3091907,148.0567385,35.18107053,79.40139371,0.037,0.048,0.085,Normal,Normal operation,None,97.84899991
7TR-709A,Transformer,383.5500875,393.5251922,383.4101021,128.5336039,143.5927074,53.42866141,47.82473494,0.02,0.049,0.069,Normal,Normal operation,None,108.5183242
7PLC-996,PLC,387.0246302,412.9375297,404.921869,35.34002167,27.61415976,118.466447,27.38154288,0.062,0.031,0.093,Normal,Normal operation,None,60.47354281
6BB-520A,Battery,415.5268376,391.3911956,386.6991184,49.63537335,148.1966737,35.08112526,54.4576002,0.036,0.048,0.084,Normal,Normal operation,None,77.63772411
2PM-925,Motor,385.736087,397.4185144,417.1946263,22.60124853,106.7836903,70.7412146,74.26421468,0.045,0.048,0.093,Normal,Normal operation,None,66.70871781
5VFD-181,VFD,385.4672934,413.0564387,388.565193,125.92431,27.61706461,137.7546721,60.56838758,0.06,0.011,0.071,Normal,Normal operation,None,97.09868225
1CB-382B,CircuitBreaker,381.45952,399.5302624,405.1282627,69.9813637,75.08884635,133.8729197,98.02285765,0.049,0.039,0.088,Overheating,High temperature,Thermal,92.98104324
3CB-464A,CircuitBreaker,393.4849659,411.9439492,405.295626,81.78460859,55.05321255,95.64808608,74.28530434,0.025,0.015,0.04,Normal,Normal operation,None,77.49530241
6UPS-523B,UPS,408.1930491,385.6418507,401.0226435,67.17989117,81.31265048,142.8526647,95.15030108,0.083,0.019,0.102,Overheating,High temperature,Thermal,97.11506879
7PLC-588,PLC,400.0573763,402.1496968,394.4098382,21.28788249,115.515753,147.4180043,40.19762305,0.048,0.031,0.079,Normal,Normal operation,None,94.7405466
4SNS-564,Sensor,380.5642355,418.1180725,380.1538433,38.38801964,81.5246758,44.79217111,57.36752667,0.064,0.027,0.091,Normal,Normal operation,None,54.90162218
1SB-293B,Switchboard,391.1708363,381.7089657,393.7052854,133.0332996,134.1784881,31.97490844,57.62947902,0.061,0.037,0.098,Normal,Normal operation,None,99.72889872
7TR-332,Transformer,390.6000177,405.5013404,393.8426998,20.03973989,98.12709709,53.96683322,85.02051612,0.06,0.022,0.082,Normal,Normal operation,None,57.37789007
4PM-903A,Motor,403.084198,394.1525464,409.8967226,141.1243306,24.75918824,89.67780736,42.43297533,0.063,0.032,0.095,Normal,Normal operation,None,85.18710874
1G-448A,Generator,404.5906604,394.6188539,385.125587,21.07630203,142.8485918,44.57291206,84.14861563,0.033,0.018,0.051,Normal,Normal operation,None,69.49926864
4SA-490,SurgeArrestor,414.930104,409.4640349,409.9500625,68.21629562,20.07669478,26.47984912,40.97833952,0.026,0.027,0.053,Normal,Normal operation,None,38.25761317
7SB-652,Switchboard,392.3970826,415.3024177,394.2769346,35.40421747,119.0464014,135.2159116,85.40293486,0.087,0.02,0.107,Normal,Normal operation,None,96.55551017
3UPS-613,UPS,399.2562174,397.9074856,410.7144117,132.1912638,102.9531613,144.4782708,55.42986823,0.063,0.037,0.1,Overload,Load exceeded limit,Thermal,126.5408986
6G-157A,Generator,388.7786591,385.9443351,402.83331,76.21869225,102.2403362,141.2705187,35.93232114,0.067,0.048,0.115,Normal,Normal operation,None,106.5765157
3SNS-111B,Sensor,392.7058996,409.5167155,409.933208,72.96230357,76.34698132,22.00289811,89.81573929,0.047,0.009,0.056,Normal,Normal operation,None,57.104061
4UPS-943A,UPS,387.8297759,381.8689199,406.3148697,38.38494684,97.27615599,49.22816163,50.47492103,0.023,0.023,0.046,Normal,Normal operation,None,61.62975482
5CAP-745B,CapacitorBank,394.2431262,407.98288,410.2966751,98.176726,110.7871393,25.53711045,96.01608388,0.078,0.027,0.105,Overheating,High temperature,Thermal,78.16699193
6CB-367B,CircuitBreaker,397.1126704,389.6931506,400.0242232,91.6714526,42.86613193,29.05645053,26.39833861,0.065,0.029,0.094,Normal,Normal operation,None,54.53134502
6CT-806B,CT,416.1015857,404.7632625,396.329115,74.1111182,56.65456934,77.15664564,44.72898095,0.075,0.006,0.081,Normal,Normal operation,None,69.30744439
2UPS-830,UPS,394.3518677,392.4501412,407.4788526,83.42704844,132.9676596,47.8647872,41.6521952,0.067,0.007,0.074,Normal,Normal operation,None,88.08649841
3CB-106B,CircuitBreaker,412.7446647,395.3183253,398.5506783,39.80002609,93.60023349,63.05072583,78.87184772,0.025,0.027,0.052,Normal,Normal operation,None,65.4836618
2BB-510A,Battery,400.8673963,412.102596,385.6394494,46.82242691,100.7627034,84.07591996,34.83702667,0.046,0.049,0.095,Normal,Normal operation,None,77.22035009
6SB-157A,Switchboard,389.71396,414.3795773,399.9830016,82.06350453,135.8058051,127.2353635,92.67833183,0.047,0.028,0.075,Overheating,High temperature,Thermal,115.0348911
5PM-542A,Motor,417.845861,388.9346034,418.2506948,48.7981004,119.9060105,105.5883802,86.17292839,0.093,0.028,0.121,Normal,Normal operation,None,91.43083034
6PT-295B,PT,389.9545323,403.0507917,412.0172101,83.01535151,115.1383056,148.7994408,85.01733181,0.026,0.046,0.072,Normal,Normal operation,None,115.6510326
3SB-757A,Switchboard,401.0073306,414.4162794,414.2921018,20.91701933,99.45127974,59.37783954,55.6202633,0.031,0.038,0.069,Normal,Normal operation,None,59.91537954
5VFD-572,VFD,396.4717044,382.3658951,381.2753039,110.7020814,123.1505185,105.6620146,67.67576085,0.039,0.037,0.076,Normal,Normal operation,None,113.1715382
1CT-779,CT,382.6187926,392.9692087,401.533159,29.1021088,35.68712738,57.11684025,80.51377201,0.081,0.044,0.125,Normal,Normal operation,None,40.63535881
3CAP-120A,CapacitorBank,380.2987116,396.6757488,410.8547998,87.43564062,114.5681082,63.78893841,94.72689409,0.091,0.024,0.115,Overheating,High temperature,Thermal,88.59756241
5UPS-182B,UPS,394.5358346,411.9179151,399.4643965,72.62344481,32.94645829,67.92603146,76.14876652,0.058,0.023,0.081,Normal,Normal operation,None,57.83197819
1G-328A,Generator,414.8332602,418.688003,417.5445584,36.15963482,142.2231131,134.901361,67.96062451,0.074,0.016,0.09,Normal,Normal operation,None,104.4280363
2VFD-497,VFD,387.134529,419.9397267,419.9056008,134.8012303,139.798771,61.13072086,95.14392777,0.057,0.017,0.074,Overheating,High temperature,Thermal,111.9102407
5CB-716A,CircuitBreaker,396.4169798,384.716374,382.1891046,81.08301058,78.32770761,49.6994942,51.75211156,0.047,0.02,0.067,Normal,Normal operation,None,69.70340413
3UPS-556B,UPS,390.9303414,417.3751159,385.8993263,53.60819585,97.82602306,83.89102294,57.32371475,0.045,0.03,0.075,Normal,Normal operation,None,78.44174728
6LP-751,Lighting,413.4829707,389.74029,382.700199,66.48453639,74.68414343,119.8928778,94.41430779,0.046,0.038,0.084,Overheating,High temperature,Thermal,87.02051919
6SNS-631B,Sensor,388.5625364,401.3409672,418.2355766,54.83897363,21.75231969,128.1091237,63.03021796,0.021,0.016,0.037,Normal,Normal operation,None,68.23347234
1SA-271B,SurgeArrestor,392.0488041,381.923967,382.2529558,64.26920382,76.91856267,119.4939584,92.23575991,0.016,0.046,0.062,Overheating,High temperature,Thermal,86.8939083
5CT-937A,CT,405.3180784,381.7482208,419.383675,100.5054111,126.976911,58.31010181,61.58488872,0.026,0.048,0.074,Normal,Normal operation,None,95.26414132
5TR-755,Transformer,404.7524099,412.4855334,404.4189886,126.418694,133.2077452,140.5647648,37.0076821,0.021,0.045,0.066,Overload,Load exceeded limit,Thermal,133.397068
5CB-795A,CircuitBreaker,384.9979062,385.3602133,390.8074674,57.65859357,21.91319727,149.9322342,73.78847746,0.096,0.005,0.101,Normal,Normal operation,None,76.50134167
3SA-919,SurgeArrestor,387.6011471,411.5185322,400.0368909,146.5884394,53.69656076,48.29412104,98.9268737,0.098,0.029,0.127,Overheating,High temperature,Thermal,82.85970707
6CB-870B,CircuitBreaker,401.617415,380.6546309,400.2065829,148.0422948,85.68546802,138.3349518,56.43510189,0.027,0.028,0.055,Overload,Load exceeded limit,Thermal,124.0209049
4TR-426A,Transformer,404.9581724,398.5443679,405.7328948,113.7107799,105.2221369,122.7855396,81.8691588,0.076,0.03,0.106,Normal,Normal operation,None,113.9061521
1BB-439A,Battery,413.280747,409.5529982,408.0958639,136.4117073,94.02596538,92.24014841,38.05534678,0.018,0.031,0.049,Normal,Normal operation,None,107.5592737
7CT-390,CT,416.4632413,394.0818012,410.3516976,41.82589623,98.08519498,82.98686286,95.48412794,0.022,0.02,0.042,Overheating,High temperature,Thermal,74.29931802
2G-263,Generator,395.7329544,404.7389854,393.8486645,102.5246935,83.74556614,98.71300885,95.7101911,0.082,0.024,0.106,Overheating,High temperature,Thermal,94.99442281
7PLC-416A,PLC,414.2126775,413.6875623,408.6482821,76.04779511,79.94209469,90.94694961,32.50390506,0.017,0.04,0.057,Normal,Normal operation,None,82.3122798
3CAP-904,CapacitorBank,409.2286702,406.5162494,412.4302072,51.86252311,106.4361351,55.9017507,43.61915139,0.1,0.014,0.114,Normal,Normal operation,None,71.40013629
5PM-529B,Motor,407.021148,406.2235638,381.1002062,76.65017644,54.30120189,56.79053124,29.50944465,0.031,0.015,0.046,Normal,Normal operation,None,62.58063652
5BB-651B,Battery,419.4375465,415.9114964,398.4260921,66.62578727,65.05679919,138.106311,62.29468668,0.045,0.026,0.071,Normal,Normal operation,None,89.92963247
5CT-309A,CT,402.9830863,400.3754542,417.8362586,77.66908445,75.84946965,62.93177379,59.18535424,0.032,0.037,0.069,Normal,Normal operation,None,72.1501093
3PLC-279,PLC,418.5751804,403.6221898,406.7943446,96.55541693,57.17991477,138.2638578,89.48682767,0.044,0.039,0.083,Normal,Normal operation,None,97.33306317
2SB-596,Switchboard,398.2228449,380.9548281,409.5469883,86.71020122,100.9697498,55.17283602,32.50418196,0.024,0.044,0.068,Normal,Normal operation,None,80.950929
6PM-596A,Motor,403.5423495,380.6376783,394.4969259,68.16839172,142.9565369,149.4924172,97.10974541,0.049,0.029,0.078,Overload,Load exceeded limit,Thermal,120.2057819
6TR-771,Transformer,395.6435922,419.3448546,401.8705844,53.92790996,43.17612613,138.4532266,58.56367252,0.011,0.034,0.045,Normal,Normal operation,None,78.51908755
2PM-579A,Motor,402.3895366,410.1039225,397.2179814,53.9168862,45.27060898,120.4488965,41.28858907,0.064,0.017,0.081,Normal,Normal operation,None,73.21213057
2CAP-880A,CapacitorBank,417.7946749,390.73155,400.7967586,130.5275979,30.82493714,31.16323126,57.81347648,0.035,0.039,0.074,Normal,Normal operation,None,64.17192211
2VFD-197,VFD,406.9398636,417.4594133,387.7279451,20.46783839,119.8913105,98.83289411,95.66445339,0.081,0.026,0.107,Overheating,High temperature,Thermal,79.73068099
1LP-152A,Lighting,384.9340802,384.1303224,409.633475,78.58359976,137.0375007,76.11724744,41.13676011,0.014,0.029,0.043,Normal,Normal operation,None,97.24611596
2G-971A,Generator,382.360499,392.1681226,388.6958095,21.77104624,67.44327237,35.33393196,78.35206105,0.016,0.006,0.022,Normal,Normal operation,None,41.51608352
3UPS-879,UPS,402.014158,394.5110605,386.8043555,82.96648611,37.63136494,53.1530591,73.47506673,0.065,0.02,0.085,Normal,Normal operation,None,57.91697005
1BB-166B,Battery,405.8009901,410.7943217,419.1168411,124.1393162,134.9520805,112.7292553,56.89182741,0.041,0.031,0.072,Overload,Load exceeded limit,Thermal,123.9402174
5LP-122,Lighting,413.7783475,381.1114872,398.2592078,66.0228999,89.12127718,124.9352,44.07313514,0.052,0.036,0.088,Normal,Normal operation,None,93.35979237
5CB-742A,CircuitBreaker,400.211344,413.5854628,412.2167441,73.6168173,32.61530938,122.4809186,97.82211783,0.028,0.013,0.041,Overheating,High temperature,Thermal,76.23768175
1CT-177,CT,419.3750552,383.5168441,397.7892364,126.3490605,65.43991617,148.5710721,41.2202138,0.053,0.02,0.073,Normal,Normal operation,None,113.4533496
4G-790A,Generator,401.8731315,395.5381164,384.6239564,48.12679316,100.8899773,24.11396895,75.57459628,0.01,0.007,0.017,Normal,Normal operation,None,57.71024648
7VFD-499,VFD,399.7329431,413.8330602,407.2956153,132.0484461,36.80226204,127.9361088,63.15225298,0.028,0.042,0.07,Normal,Normal operation,None,98.92893897
3PT-864B,PT,394.5966579,413.8961652,392.0770581,143.8014745,38.47486905,145.909368,82.2797313,0.059,0.031,0.09,Normal,Normal operation,None,109.3952372
5SB-478,Switchboard,413.0261034,397.3541539,410.3936731,128.9727897,37.03241779,23.07735072,26.55323441,0.044,0.024,0.068,Normal,Normal operation,None,63.02751939
1G-183B,Generator,389.932396,383.5638086,388.4159284,64.45513121,86.94237907,128.3820561,54.36795425,0.034,0.032,0.066,Normal,Normal operation,None,93.25985545
1CB-457B,CircuitBreaker,404.7647373,396.11994,394.5881399,135.8739026,37.04563066,138.9983552,94.3167738,0.052,0.014,0.066,Overheating,High temperature,Thermal,103.9726295
7UPS-975,UPS,390.1993201,414.5165315,393.5497014,44.40765177,130.6334073,23.84859503,28.04529813,0.011,0.009,0.02,Normal,Normal operation,None,66.29655136
1CAP-928A,CapacitorBank,402.0057629,415.8615002,416.2627733,82.49849249,59.17185881,48.26230635,68.54690313,0.015,0.044,0.059,Normal,Normal operation,None,63.31088588
7CB-836B,CircuitBreaker,419.8570845,407.6646369,383.4211882,36.67886036,132.2135778,34.62883779,69.12411669,0.061,0.049,0.11,Normal,Normal operation,None,67.84042533
5G-705,Generator,405.1987524,402.9555229,394.9152786,141.3522079,114.6884879,21.14018465,50.53759188,0.078,0.035,0.113,Normal,Normal operation,None,92.39362682
2BB-755B,Battery,385.910665,386.7776082,398.3732365,62.07994449,110.1040005,141.2435192,97.2351739,0.065,0.014,0.079,Overheating,High temperature,Thermal,104.4758214
4PLC-467A,PLC,395.7682936,398.9402154,409.8474333,92.55506415,47.45797334,147.561564,98.56816007,0.087,0.024,0.111,Overheating,High temperature,Thermal,95.85820051
1VFD-236B,VFD,399.5063401,396.5239104,419.5535227,41.76125005,104.8191111,56.9563151,86.56154545,0.09,0.047,0.137,Normal,Normal operation,None,67.84555876
6PM-626B,Motor,397.454003,415.3258374,388.9109683,21.79134008,82.77382463,89.30385634,64.25884373,0.069,0.036,0.105,Normal,Normal operation,None,64.62300702
4SNS-237,Sensor,409.0468506,382.4972191,408.9438476,49.64677337,46.36305461,51.20790181,25.19663894,0.033,0.022,0.055,Normal,Normal operation,None,49.0725766
2BB-698B,Battery,382.7538414,416.2129924,415.2692851,57.28611159,43.64731498,45.64558452,60.14790681,0.034,0.041,0.075,Normal,Normal operation,None,48.85967036
2SNS-565,Sensor,417.910168,380.5305169,392.9070949,85.70348695,31.10988896,123.0451584,83.18393926,0.015,0.033,0.048,Normal,Normal operation,None,79.95284476
2TR-385,Transformer,417.6204645,414.4084467,397.0865627,29.33145449,56.48658282,113.2294791,59.01741433,0.082,0.021,0.103,Normal,Normal operation,None,66.34917214
3TR-128A,Transformer,408.8346736,416.2402556,393.0504389,89.15732798,149.9240481,100.2088475,72.59068594,0.083,0.034,0.117,Normal,Normal operation,None,113.0967412
5CAP-137B,CapacitorBank,403.5798632,404.8985405,412.2635054,96.42398994,135.6043264,134.1414833,75.6032096,0.021,0.043,0.064,Overload,Load exceeded limit,Thermal,122.0565999
1SB-126B,Switchboard,411.1747676,405.7043454,382.8923711,63.23050316,63.36589696,117.3293423,55.339653,0.026,0.022,0.048,Normal,Normal operation,None,81.30858079
3SNS-637B,Sensor,381.2478952,414.7091399,390.4358991,65.52746368,63.33892245,78.08978104,51.91550024,0.026,0.016,0.042,Normal,Normal operation,None,68.98538906
2SNS-763B,Sensor,402.7562714,419.3648269,393.8670599,57.24836628,81.08601919,82.8206805,98.94675996,0.052,0.045,0.097,Overheating,High temperature,Thermal,73.71835532
3G-330,Generator,417.4654034,417.92792,396.2835795,142.8943161,50.23999906,145.519597,33.23660541,0.072,0.037,0.109,Normal,Normal operation,None,112.8846374
6SNS-372,Sensor,397.800717,380.3229146,409.3586117,34.24467318,34.13743882,59.77274764,59.48564463,0.024,0.046,0.07,Normal,Normal operation,None,42.71828655
4LP-454,Lighting,385.5982325,396.4716141,386.8850354,122.0889732,84.47724863,83.89153282,41.31081805,0.048,0.017,0.065,Normal,Normal operation,None,96.81925154
4VFD-937B,VFD,384.9816991,403.9112242,398.2496808,52.31444534,57.33084059,105.6779645,68.03771804,0.062,0.03,0.092,Normal,Normal operation,None,71.77441682
2SA-322,SurgeArrestor,417.637539,393.5132057,400.6155325,135.8916649,36.60994352,73.87308647,54.47550366,0.031,0.007,0.038,Normal,Normal operation,None,82.12489829
3VFD-585A,VFD,385.9515304,397.2261958,410.095009,54.03077191,41.76150792,69.74414595,37.43064756,0.068,0.015,0.083,Normal,Normal operation,None,55.17880859
6TR-471A,Transformer,409.9845783,401.456775,409.3516076,104.825211,83.6592294,114.0461554,91.73117096,0.057,0.025,0.082,Overheating,High temperature,Thermal,100.8435319
6G-506,Generator,387.2254094,417.0129168,380.6785105,79.21917857,115.903602,42.72986888,28.26915413,0.033,0.03,0.063,Normal,Normal operation,None,79.2842165
3LP-397,Lighting,395.5891022,389.9374797,398.9190469,73.19563341,65.74887189,53.62268204,99.00086826,0.062,0.025,0.087,Overheating,High temperature,Thermal,64.18906245
4SNS-646,Sensor,390.4580951,394.1408663,415.6661638,125.1903155,98.98825956,44.63323161,85.02644506,0.095,0.035,0.13,Normal,Normal operation,None,89.60393556
3VFD-415A,VFD,401.8972788,392.1420567,410.7461188,47.78499066,113.7329467,38.07575744,83.8576731,0.019,0.034,0.053,Normal,Normal operation,None,66.53123159
5VFD-400,VFD,399.6156172,397.3465416,383.7183243,76.77544838,41.53170017,145.4728952,46.29435467,0.025,0.021,0.046,Normal,Normal operation,None,87.92668124
6PLC-605A,PLC,386.7340511,411.198016,386.3223051,115.4782229,20.09166782,35.07065305,39.52912566,0.056,0.036,0.092,Normal,Normal operation,None,56.88018126
6CAP-107A,CapacitorBank,406.1836946,383.0589084,396.8500876,144.953327,140.1764695,130.3099358,58.61770592,0.022,0.039,0.061,Overload,Load exceeded limit,Thermal,138.4799108
1SA-621,SurgeArrestor,411.2399688,388.5902572,397.8822417,80.683585,144.5273042,55.65533487,66.75847652,0.096,0.044,0.14,Normal,Normal operation,None,93.62207469
6CT-892B,CT,396.9580634,412.4623606,401.4468498,44.26531139,59.7782526,33.27831329,78.23558778,0.036,0.049,0.085,Normal,Normal operation,None,45.77395909
7PT-170B,PT,400.2107441,413.2171899,403.6350771,82.40205981,27.39600888,47.462512,32.38675254,0.038,0.047,0.085,Normal,Normal operation,None,52.42019356
2UPS-867,UPS,416.2268901,394.0053932,381.7707187,70.73465684,148.4309931,46.43421895,80.29631685,0.063,0.049,0.112,Normal,Normal operation,None,88.53328961
6VFD-967,VFD,384.6347592,397.3937692,394.0888734,139.778635,126.8628518,40.13719167,91.33028847,0.054,0.006,0.06,Overheating,High temperature,Thermal,102.2595595
3LP-920A,Lighting,389.4581101,410.5845518,393.9672413,61.15894972,121.1620486,112.1054608,82.78583177,0.081,0.018,0.099,Normal,Normal operation,None,98.14215305
4CAP-543B,CapacitorBank,417.8376908,406.4269286,409.172675,75.88733506,35.28663264,62.74776371,63.90201003,0.05,0.045,0.095,Normal,Normal operation,None,57.97391047
2BB-881,Battery,389.514206,416.7985612,411.4084538,119.2008335,25.65467003,115.3716228,59.81365915,0.061,0.032,0.093,Normal,Normal operation,None,86.74237543
3CAP-637,CapacitorBank,380.9961997,386.1873905,412.3528648,149.4344396,134.1656097,147.4470864,84.58340191,0.077,0.023,0.1,Overload,Load exceeded limit,Thermal,143.6823785
5BB-188A,Battery,381.4121631,398.4625867,389.5957159,107.8846504,27.76475807,111.4944719,67.96104174,0.023,0.013,0.036,Normal,Normal operation,None,82.38129345
